posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest
8051,3240,3966,8318,5575,13755,42905,10263,6030,6523,10127,7129,16282,56354,1.004,713,2784,2331,899,1573,1903,10203
8243,3160,4078,8334,5556,13765,43136,10165,6191,6582,9928,7160,16073,56099,0.995,767,2828,2346,867,1566,1877,10251
8098,3273,4132,8131,5594,13656,42884,10214,6100,6681,9907,6952,16012,55866,0.996,809,2807,2418,865,1509,1908,10316
8067,3171,4146,8095,5443,13495,42417,10101,6080,6605,9935,6987,16052,55760,0.998,702,2812,2463,872,1528,1838,10215
8071,3177,4022,8143,5459,13666,42538,10153,6060,6539,9877,7020,16087,55736,1,768,2802,2407,858,1570,1916,10321
8093,3164,4032,8158,5450,13599,42496,10153,6073,6493,9870,6973,15983,55545,0.997,768,2769,2401,842,1478,1832,10090
8096,3196,3996,8162,5495,13582,42527,9953,6094,6533,9612,6987,15867,55046,0.991,721,2824,2378,778,1574,1773,10048
7970,3185,4060,7921,5413,13488,42037,10030,5921,6568,9891,6775,15892,55077,1.001,718,2789,2441,839,1481,1822,10090
7974,3046,4033,8164,5294,13531,42042,9900,5992,6413,9824,6933,15854,54916,0.997,716,2781,2316,840,1526,1785,9964
7868,3111,3966,8030,5407,13525,41907,9936,5950,6383,9802,6932,15819,54822,0.998,782,2812,2273,850,1546,1898,10161
3677,3409,6097,3986,4844,11090,33103,8199,2800,8593,8193,3395,13313,44493,NA,652,1283,3202,672,763,1508,8080
6510,1477,5267,6736,2632,11321,33943,7274,4880,6120,7272,5766,11517,42829,0.963,550,2306,2231,657,1236,1355,8335
5781,2506,3792,6002,4530,9733,32344,7393,4320,5717,7558,5123,11884,41995,0.981,532,2011,2111,642,1198,1364,7858
5838,2230,3518,6210,3925,10085,31806,7407,4379,5179,7297,5310,11734,41306,0.984,575,2041,1909,624,1112,1286,7547
5826,2276,3174,5983,4198,9985,31442,8000,4405,5337,7870,5148,13661,44421,1.075,605,2118,2010,674,1138,1627,8172
6344,2242,3327,6445,4010,11960,34328,8857,4756,5328,8661,5584,14679,47865,1.078,677,2236,1964,770,1245,1739,8631
7057,2442,3333,7110,4339,12714,36995,9280,5259,5568,9055,6067,15451,50680,1.059,675,2425,2000,775,1377,1864,9116
7406,2749,3548,7451,4690,13264,39108,9579,5527,5791,9545,6377,16013,52832,1.042,706,2561,2094,826,1349,1792,9328
7575,2873,3623,7809,5028,13858,40766,10060,5661,5996,10007,6713,16472,54909,1.039,731,2657,2171,853,1474,1925,9811
8023,2913,3746,8178,5239,14076,42175,10223,6034,6088,10167,6985,16407,55904,1.018,768,2744,2221,849,1534,1881,9997
8130,3162,3771,8369,5451,14031,42914,10242,6037,6289,10233,7223,16537,56561,1.012,737,2814,2280,873,1614,1959,10277
8133,3136,3923,8472,5609,14047,43320,10518,6045,6405,10230,7281,16621,57100,1.01,742,2861,2326,867,1585,1907,10288
8486,3072,3977,8414,5696,14144,43789,10312,6377,6369,10436,7223,16774,57491,1.007,826,2974,2265,944,1631,1971,10611
8169,3296,3979,8511,5592,14230,43777,10418,6135,6676,10444,7371,16637,57681,1.003,821,2821,2431,872,1648,1876,10469
8222,3213,4155,8630,5723,14194,44137,10556,6227,6683,10454,7338,16664,57922,1.004,797,2869,2450,875,1606,1880,10477
8406,3263,4127,8639,5732,14190,44357,10532,6305,6688,10231,7429,16550,57735,0.997,787,2950,2387,895,1596,1900,10515
8333,3268,4195,8398,5833,14009,44036,10535,6263,6695,10292,7190,16566,57541,0.997,787,2935,2474,852,1633,1881,10562
8451,3222,4121,8517,5557,14089,43957,10317,6347,6613,10203,7343,16361,57184,0.994,726,2967,2385,863,1619,1854,10414
8246,3277,4118,8401,5724,13828,43594,10298,6145,6693,10186,7260,16585,57167,1,807,2900,2475,853,1597,1944,10576
8078,3129,4102,8445,5663,14083,43500,10479,6125,6561,10272,7237,16486,57160,1,849,2861,2407,892,1618,1866,10493
8276,3177,4052,8431,5619,14045,43600,10422,6169,6515,10334,7247,16545,57232,1.001,777,2904,2368,892,1621,1858,10420
8328,3184,4036,8509,5626,14065,43748,10388,6260,6555,10356,7282,16460,57301,1.001,768,2902,2355,838,1646,1908,10417
8266,3268,4089,8527,5636,13969,43755,10280,6199,6632,10080,7292,16353,56836,0.992,802,2876,2407,816,1620,1906,10427
8141,3236,4128,8300,5672,13816,43293,10237,6115,6607,10290,7113,16371,56733,0.998,754,2905,2472,898,1556,1842,10427
8163,3125,4024,8413,5557,13962,43244,10210,6084,6419,10193,7219,16346,56471,0.995,701,2825,2375,897,1578,1907,10283
3760,3278,5840,3869,5022,11006,32775,8386,2835,8216,8029,3344,13358,44168,NA,617,1319,3026,695,728,1501,7886
6604,1483,5062,6577,2616,11341,33683,7383,4907,5886,7177,5675,11545,42573,0.964,552,2281,2077,608,1249,1401,8168
5836,2551,3723,5958,4426,9719,32213,7480,4418,5680,7299,5114,11762,41753,0.981,584,2088,2117,673,1175,1382,8019
5931,2253,3470,5929,3939,9938,31460,7261,4416,5178,7143,5054,11512,40564,0.972,547,2054,1889,591,1179,1272,7532
5752,2290,3204,5912,3875,9815,30848,7687,4284,5368,7633,5094,13491,43557,1.074,596,1967,1977,626,1167,1595,7928
6074,2242,3391,6289,3927,11896,33819,8975,4609,5402,8652,5426,14945,48009,1.102,663,2149,1946,691,1199,1736,8384
7134,2397,3431,7150,4227,13055,37394,9512,5366,5464,9310,6163,15736,51551,1.074,728,2506,1992,807,1291,1825,9149
7524,2778,3415,7624,4872,13639,39852,10004,5599,5689,9918,6525,16576,54311,1.054,730,2621,2083,824,1404,1926,9588
7942,2907,3525,8208,5121,14279,41982,10375,5893,5903,10178,7061,16852,56262,1.036,820,2747,2075,902,1533,1948,10025
8255,3064,3728,8295,5528,14406,43276,10689,6146,6173,10528,7071,17328,57935,1.03,777,2804,2309,908,1570,2007,10375
8603,3255,3766,8619,5501,14828,44572,10855,6398,6407,10595,7451,17286,58992,1.018,771,2949,2347,881,1589,2168,10705
8690,3341,3955,8685,5862,14569,45102,10890,6474,6581,10748,7485,17155,59333,1.006,764,3041,2425,898,1703,1895,10726
8661,3336,4050,8842,5782,14652,45323,10746,6466,6658,10800,7547,17120,59337,1,788,3014,2410,948,1674,1856,10690
8557,3368,4140,8861,5873,14689,45488,10770,6450,6776,10899,7621,17308,59824,1.008,751,2952,2521,929,1749,2093,10995
8704,3402,4144,8972,5872,14602,45696,10736,6452,6854,10695,7713,16961,59411,0.993,815,2968,2569,949,1645,2002,10948
8577,3381,4179,8773,6068,14362,45340,10853,6463,6852,10517,7466,17185,59336,0.999,822,2936,2580,937,1646,1997,10918
8550,3411,4165,8629,5820,14618,45193,10932,6397,6802,10763,7373,17054,59321,1,777,3038,2505,899,1600,1940,10759
8748,3273,4197,8821,5773,14454,45266,10733,6526,6745,10598,7601,16821,59024,0.995,809,3046,2448,910,1671,1930,10814
8528,3391,4180,8735,5930,14282,45046,10592,6407,6898,10584,7507,17060,59048,1,788,2987,2506,932,1643,1862,10718
8450,3329,4273,8680,5864,14566,45162,10732,6324,6910,10569,7458,16988,58981,0.999,798,2903,2577,919,1637,1972,10806
8525,3321,4209,8690,5821,14377,44943,10718,6315,6810,10488,7417,16967,58715,0.995,775,3067,2496,926,1647,2000,10911
8542,3155,4204,8616,5770,14389,44676,10494,6369,6638,10412,7390,16798,58101,0.99,784,2898,2429,860,1657,2022,10650
8385,3368,4129,8589,5733,14177,44381,10418,6373,6745,10596,7355,16717,58204,1.002,771,2929,2500,896,1666,1934,10696
