pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio,lambda
59240,0.4,0.24,0.36,1.46,1.003
59041,0.41,0.23,0.36,1.47,0.997
59290,0.4,0.23,0.36,1.45,1.004
59037,0.4,0.24,0.36,1.45,0.996
58582,0.4,0.24,0.36,1.44,0.992
58099,0.4,0.24,0.36,1.45,0.992
57891,0.4,0.23,0.36,1.45,0.996
57936,0.4,0.24,0.36,1.44,1.001
57708,0.41,0.23,0.36,1.44,0.996
57586,0.4,0.23,0.36,1.44,0.998
57402,0.4,0.24,0.36,1.45,0.997
56736,0.4,0.24,0.36,1.45,0.988
44352,0.49,0.14,0.37,1.28,NA
42708,0.41,0.25,0.34,1.34,0.963
41906,0.42,0.22,0.36,1.41,0.981
41589,0.41,0.24,0.36,1.43,0.992
44752,0.43,0.22,0.36,1.48,1.076
48740,0.43,0.21,0.36,1.52,1.089
51817,0.41,0.22,0.37,1.55,1.063
53859,0.41,0.23,0.36,1.54,1.039
55727,0.4,0.23,0.37,1.53,1.035
56803,0.4,0.23,0.36,1.53,1.019
57744,0.4,0.23,0.37,1.52,1.017
58242,0.4,0.24,0.36,1.5,1.009
58954,0.4,0.23,0.36,1.49,1.012
59232,0.4,0.24,0.36,1.46,1.005
58937,0.4,0.23,0.36,1.45,0.995
58653,0.4,0.24,0.36,1.47,0.995
58115,0.4,0.24,0.36,1.46,0.991
57789,0.4,0.23,0.36,1.46,0.994
58063,0.4,0.24,0.36,1.45,1.005
57709,0.4,0.24,0.36,1.45,0.994
57652,0.41,0.23,0.36,1.42,0.999
57237,0.4,0.24,0.36,1.45,0.993
56980,0.41,0.23,0.36,1.45,0.996
56477,0.41,0.24,0.36,1.44,0.991
56289,0.41,0.23,0.36,1.47,0.997
44390,0.49,0.14,0.37,1.28,NA
42703,0.41,0.25,0.34,1.33,0.962
41976,0.42,0.22,0.36,1.37,0.983
40964,0.41,0.24,0.36,1.41,0.976
43681,0.43,0.21,0.35,1.48,1.066
47013,0.43,0.21,0.36,1.49,1.076
49651,0.42,0.22,0.36,1.52,1.056
51896,0.41,0.22,0.37,1.53,1.045
53819,0.4,0.23,0.36,1.52,1.037
54841,0.4,0.23,0.36,1.51,1.019
55947,0.4,0.23,0.36,1.49,1.02
56339,0.4,0.23,0.36,1.48,1.007
56802,0.4,0.23,0.36,1.47,1.008
56436,0.4,0.24,0.36,1.45,0.994
56210,0.41,0.24,0.36,1.44,0.996
56054,0.41,0.23,0.36,1.46,0.997
55984,0.41,0.23,0.36,1.44,0.999
55777,0.4,0.24,0.36,1.43,0.996
55511,0.41,0.24,0.36,1.45,0.995
55741,0.41,0.23,0.36,1.43,1.004
55096,0.4,0.24,0.36,1.45,0.988
54800,0.41,0.23,0.36,1.44,0.995
54580,0.4,0.24,0.36,1.44,0.996
54147,0.4,0.24,0.36,1.44,0.992
53490,0.41,0.23,0.36,1.45,0.988
44111,0.49,0.14,0.37,1.28,NA
42776,0.41,0.25,0.34,1.33,0.97
41840,0.42,0.23,0.35,1.39,0.978
41021,0.41,0.23,0.36,1.41,0.98
43959,0.43,0.22,0.36,1.5,1.072
47739,0.42,0.21,0.37,1.52,1.086
50829,0.41,0.22,0.36,1.51,1.065
52915,0.41,0.23,0.36,1.52,1.041
54920,0.4,0.23,0.37,1.53,1.038
56337,0.4,0.23,0.37,1.53,1.026
57140,0.4,0.23,0.36,1.5,1.014
57702,0.4,0.23,0.36,1.49,1.01
57777,0.4,0.24,0.36,1.47,1.001
58041,0.4,0.23,0.36,1.47,1.005
57998,0.4,0.24,0.36,1.46,0.999
57577,0.4,0.24,0.36,1.46,0.993
57418,0.4,0.24,0.36,1.45,0.997
56750,0.4,0.24,0.36,1.45,0.988
57052,0.41,0.23,0.36,1.45,1.005
56847,0.4,0.24,0.36,1.44,0.996
56269,0.41,0.23,0.36,1.43,0.99
56174,0.4,0.23,0.36,1.45,0.998
55609,0.41,0.24,0.36,1.46,0.99
55775,0.41,0.23,0.36,1.46,1.003
55640,0.41,0.23,0.36,1.44,0.998
44069,0.49,0.14,0.37,1.26,NA
42778,0.41,0.25,0.34,1.35,0.971
42182,0.42,0.23,0.36,1.4,0.986
41475,0.41,0.24,0.36,1.42,0.983
44441,0.43,0.22,0.36,1.49,1.072
47753,0.42,0.21,0.36,1.52,1.075
50477,0.42,0.22,0.36,1.54,1.057
52877,0.41,0.23,0.36,1.51,1.048
55056,0.41,0.23,0.37,1.5,1.041
55873,0.4,0.23,0.36,1.49,1.015
56502,0.41,0.23,0.36,1.49,1.011
56699,0.4,0.23,0.36,1.5,1.003
57032,0.4,0.24,0.36,1.48,1.006
57014,0.4,0.24,0.36,1.48,1
57129,0.4,0.23,0.36,1.46,1.002
57268,0.41,0.23,0.36,1.45,1.002
56959,0.41,0.23,0.36,1.44,0.995
56523,0.4,0.24,0.36,1.43,0.992
56268,0.41,0.23,0.36,1.45,0.995
56279,0.41,0.23,0.36,1.44,1
56278,0.4,0.23,0.36,1.45,1
56175,0.4,0.24,0.36,1.46,0.998
56297,0.4,0.23,0.36,1.43,1.002
56053,0.4,0.24,0.36,1.44,0.996
55837,0.41,0.23,0.36,1.44,0.996
